Query ,Actual closest word ,Predicted closest words,Actual answer index,similarity score
omelette:eggs::ocean:water,water,"[('ocean', 0.79677814245224), ('evening', 0.6902230978012085), ('egg', 0.6747890114784241), ('water', 0.673048198223114), ('monochromatic', 0.6692392826080322), ('day', 0.6659333109855652), ('eggs', 0.6605149507522583), ('rainbow', 0.6593083143234253), ('light', 0.6506999731063843), ('life', 0.6496984362602234)]",4,0.673048198
hunger:starvation::sadness:depression,depression,"[('sadness', 0.971042275428772), ('fear', 0.9229414463043213), ('emotional', 0.9130545258522034), ('stretched', 0.909695029258728), ('depression', 0.9084844589233398), ('deceased', 0.9081548452377319), ('abuse', 0.9080366492271423), ('evil', 0.907526433467865), ('morose', 0.9072396159172058), ('bottom', 0.9061018228530884)]",5,0.908484459
school:students::zoo:animal,animal,"[('students', 0.8877544403076172), ('zoo', 0.8783409595489502), ('student', 0.8712745904922485), ('hunger', 0.8693535327911377), ('animal', 0.8691498041152954), ('starvation', 0.867081344127655), ('tired', 0.8624623417854309), ('retiree', 0.8592123985290527), ('jobless', 0.852013885974884), ('exhaustion', 0.8507406115531921)]",5,0.869149804
slavery:freedom::depression:joy,joy,"[('happiness', 0.846710205078125), ('freedom', 0.8410189151763916), ('depression', 0.8406690359115601), ('achievement', 0.839918315410614), ('joy', 0.8265566229820251), ('succeed', 0.8263266086578369), ('emotional', 0.8233376145362854), ('life', 0.821308970451355), ('discipline', 0.8204747438430786), ('performance', 0.8174277544021606)]",5,0.826556623
day:evening::good:wrong,wrong,"[('good', 0.9661580324172974), ('discipline', 0.93894362449646), ('employed', 0.9240586757659912), ('alive', 0.9233644604682922), ('backward', 0.9170440435409546), ('wrong', 0.9079738855361938), ('discard', 0.9067028164863586), ('seconds', 0.9047085046768188), ('achievement', 0.9045001268386841), ('forward', 0.9038223028182983)]",6,0.907973886
tool:hammer::tool:screwdriver,screwdriver,"[('hammer', 1.000000238418579), ('spear', 0.8625262379646301), ('tool', 0.8608943223953247), ('sword', 0.8444743156433105), ('knife', 0.8352047204971313), ('weapon', 0.8093490600585938), ('screwdriver', 0.8037064671516418), ('forks', 0.8032220602035522), ('cutlery', 0.7945775389671326), ('fill', 0.774013340473175)]",7,0.803706467
fragile:damaged::elastic:stretched,stretched,"[('spinner', 0.8545292615890503), ('damaged', 0.8518593311309814), ('elastic', 0.8514438271522522), ('stitching', 0.8252445459365845), ('dirty', 0.8250904679298401), ('clean', 0.8243950009346008), ('freezing', 0.8241857886314392), ('stretched', 0.8201848268508911), ('small', 0.8191867470741272), ('starvation', 0.8175292015075684)]",8,0.820184827
crown:royalty::smoke:fire,fire,"[('smoke', 0.9383938908576965), ('deceased', 0.7938429713249207), ('evil', 0.7846280336380005), ('sadness', 0.7827481031417847), ('royalty', 0.7815945148468018), ('morose', 0.7780594229698181), ('movie', 0.7744846343994141), ('fire', 0.7744625806808472), ('widow', 0.7709869146347046), ('burn', 0.7682545185089111)]",8,0.774462581
retiree:job::widow:husband,husband,"[('job', 0.9403141736984253), ('widow', 0.9080942869186401), ('tired', 0.907071590423584), ('student', 0.9067831635475159), ('students', 0.895182728767395), ('exhaustion', 0.8821614980697632), ('millionaire', 0.8680185675621033), ('jobless', 0.8611295819282532), ('husband', 0.8593242764472961), ('adult', 0.8543864488601685)]",9,0.859324276
arrhythmia:heartbeat::pimple:skin,skin,"[('pimple', 0.8954482078552246), ('blemish', 0.8598682284355164), ('face', 0.8353382349014282), ('makeup', 0.8160287141799927), ('abuse', 0.7747981548309326), ('crying', 0.7730681300163269), ('fear', 0.7707517147064209), ('woman', 0.7627502679824829), ('laugh', 0.7599712610244751), ('skin', 0.7552937269210815)]",10,0.755293727
library:books::bird:feathers,feathers,"[('bird', 0.8346476554870605), ('robin', 0.7631911039352417), ('botany', 0.7462173104286194), ('elastic', 0.7458710670471191), ('small', 0.7422031164169312), ('pain', 0.7337033748626709), ('book', 0.7335078716278076), ('stitching', 0.7317132949829102), ('retiree', 0.7281561493873596), ('litter', 0.7254785299301147)]",11,0.722516894
hot:cold::big:small,small,"[('cold', 0.9407983422279358), ('freezing', 0.9114073514938354), ('big', 0.8909632563591003), ('deceased', 0.8617855310440063), ('jobless', 0.8571838736534119), ('retiree', 0.8545015454292297), ('dirty', 0.8540120124816895), ('morose', 0.8529070615768433), ('hunger', 0.8526784777641296), ('widow', 0.8525328636169434)]",14,0.846207738
tired:exhaustion::morose:sadness,sadness,"[('morose', 0.9570294618606567), ('joy', 0.911859393119812), ('coward', 0.9087092280387878), ('depression', 0.902664065361023), ('deceased', 0.9000943899154663), ('discipline', 0.8978238701820374), ('evil', 0.8971070051193237), ('movie', 0.8970617055892944), ('villain', 0.8963359594345093), ('short', 0.8946049213409424)]",16,0.890946805
script:movie::choreography:performance,performance,"[('choreography', 0.9481832981109619), ('movie', 0.9143575429916382), ('big', 0.8927117586135864), ('jobless', 0.8835830688476562), ('stretched', 0.878074586391449), ('villain', 0.8778676390647888), ('starvation', 0.8762589693069458), ('deceased', 0.8761069774627686), ('freedom', 0.8728580474853516), ('evil', 0.871757447719574)]",19,0.854928374
girl:woman::baby:adult,adult,"[('baby', 0.9913527369499207), ('crying', 0.9016900062561035), ('child', 0.8920502662658691), ('mother', 0.8685756921768188), ('kid', 0.8585046529769897), ('laugh', 0.8040375113487244), ('hunger', 0.7861415147781372), ('father', 0.7861301898956299), ('exhaustion', 0.7807729244232178), ('starvation', 0.7796885371208191)]",19,0.751517594
harvesting:farming::stitching:sewing,sewing,"[('stitching', 0.9694077968597412), ('skin', 0.8924154043197632), ('elastic', 0.8843334913253784), ('short', 0.8642430305480957), ('pain', 0.8618791699409485), ('wealth', 0.8615871667861938), ('small', 0.8607906103134155), ('spinner', 0.8576959371566772), ('sadness', 0.8571755290031433), ('cards', 0.8570027351379395)]",24,0.846288681
sprint:fast::crying:emotional,emotional,"[('crying', 0.906125545501709), ('mother', 0.8627299666404724), ('kid', 0.8593343496322632), ('child', 0.8543473482131958), ('abuse', 0.840081512928009), ('laugh', 0.8376927375793457), ('fear', 0.819438636302948), ('pimple', 0.8104591965675354), ('face', 0.809386670589447), ('girl', 0.8053908348083496)]",25,0.779398501
fire:cold::rainbow:monochromatic,monochromatic,"[('cold', 0.795025110244751), ('freezing', 0.7517349123954773), ('retiree', 0.7383532524108887), ('father', 0.726297914981842), ('exhaustion', 0.7255877256393433), ('small', 0.7212701439857483), ('emotional', 0.7204492688179016), ('tired', 0.7203564047813416), ('kid', 0.718431293964386), ('sadness', 0.7161303758621216)]",26,0.70084095
fail:succeed::attract:repel,repel,"[('attract', 0.9417406916618347), ('succeed', 0.9234675168991089), ('achievement', 0.9208930134773254), ('backward', 0.9028037786483765), ('discipline', 0.9024168252944946), ('happiness', 0.8974252939224243), ('joy', 0.8959177732467651), ('forward', 0.8957299590110779), ('unstable', 0.8913088440895081), ('performance', 0.8890502452850342)]",31,0.848837316
millionaire:wealth::coward:fear,fear,"[('coward', 0.9059640765190125), ('wealth', 0.9033075571060181), ('joy', 0.892573356628418), ('backward', 0.8887940049171448), ('discard', 0.8887709379196167), ('raise', 0.8886973857879639), ('achievement', 0.8802027106285095), ('unstable', 0.8800063133239746), ('short', 0.8777546286582947), ('full', 0.8777429461479187)]",37,0.844535828
freezing:warm::gigantic:short,short,"[('gigantic', 0.9094907641410828), ('warm', 0.8699155449867249), ('life', 0.8580877184867859), ('happiness', 0.8540323376655579), ('dim', 0.8507937788963318), ('light', 0.8452968597412109), ('succeed', 0.8450589179992676), ('achievement', 0.8418571949005127), ('joy', 0.8390137553215027), ('rainbow', 0.8333680033683777)]",39,0.786035359
unstable:fall::fragile:break,break,"[('fragile', 0.8614403605461121), ('discipline', 0.7826275825500488), ('good', 0.7817255854606628), ('employed', 0.7781499028205872), ('wrong', 0.7762830257415771), ('fail', 0.7731470465660095), ('depression', 0.7715005278587341), ('backward', 0.7704553604125977), ('attract', 0.7698734998703003), ('fall', 0.7684603333473206)]",39,0.718041241
father:mother::mother:father,father,"[('mother', 0.9417027831077576), ('child', 0.8862173557281494), ('crying', 0.8804180026054382), ('girl', 0.8708856701850891), ('abuse', 0.8641693592071533), ('baby', 0.8601398468017578), ('woman', 0.8545157313346863), ('exhaustion', 0.8528777360916138), ('kid', 0.846070408821106), ('tired', 0.8430831432342529)]",40,0.761490703
forward:backward::top:bottom,bottom,"[('top', 0.97174471616745), ('hill', 0.9024084210395813), ('life', 0.898840606212616), ('big', 0.8868726491928101), ('hotel', 0.8856565952301025), ('farming', 0.8801771998405457), ('school', 0.8763576745986938), ('day', 0.8737558722496033), ('happiness', 0.8727620840072632), ('succeed', 0.8718529939651489)]",41,0.828940868
library:books::school:student,student,"[('book', 0.8020559549331665), ('school', 0.7891161441802979), ('sprint', 0.781395673751831), ('books', 0.7794861197471619), ('cards', 0.7780355215072632), ('short', 0.7733931541442871), ('retiree', 0.7709116339683533), ('achievement', 0.7706285715103149), ('teach', 0.7701079845428467), ('unstable', 0.7688657641410828)]",48,0.729400873
deceased:alive::employed:jobless,jobless,"[('employed', 0.9109703302383423), ('good', 0.8916844129562378), ('alive', 0.8878415822982788), ('wrong', 0.882631242275238), ('forward', 0.8770656585693359), ('backward', 0.8640162944793701), ('fragile', 0.8551194667816162), ('beat', 0.8365929126739502), ('discipline', 0.8365668058395386), ('attract', 0.8291985988616943)]",57,0.694538236
discipline:abuse::discard:litter,litter,"[('abuse', 0.954399824142456), ('fear', 0.924737274646759), ('pain', 0.8979308605194092), ('mother', 0.8976931571960449), ('tired', 0.8936632871627808), ('laugh', 0.887898325920105), ('skin', 0.8872408270835876), ('sadness', 0.887094259262085), ('exhaustion', 0.8862272500991821), ('hunger', 0.8810256719589233)]",68,0.807163596
spinner:yarn::weaver:cloth,cloth,"[('yarn', 0.8824032545089722), ('weaver', 0.8481779098510742), ('widow', 0.778226375579834), ('starvation', 0.7732387781143188), ('hunger', 0.7717915177345276), ('jobless', 0.7715203166007996), ('deceased', 0.7707332968711853), ('stretched', 0.7705873250961304), ('students', 0.7698593735694885), ('retiree', 0.7686600089073181)]",74,0.714256525
wash:clean::teach:educated,educated,"[('teach', 0.9075796008110046), ('short', 0.8993189334869385), ('backward', 0.8845024108886719), ('performance', 0.879692554473877), ('fail', 0.8794155716896057), ('productive', 0.8788958191871643), ('achievement', 0.8787234425544739), ('sprint', 0.8787046074867249), ('clean', 0.8746286034584045), ('discipline', 0.8726984262466431)]",77,0.804078877
botany:plants::mathematics:numbers,numbers,"[('mathematics', 0.9279453158378601), ('seconds', 0.8640619516372681), ('full', 0.8633142709732056), ('alive', 0.8534719347953796), ('performance', 0.8474090099334717), ('discipline', 0.8416749238967896), ('productive', 0.8405458927154541), ('depression', 0.8391286730766296), ('teach', 0.8389851450920105), ('short', 0.8385930061340332)]",79,0.778591931
sword:knife::ladder:stairs,stairs,"[('ladder', 0.924936056137085), ('forks', 0.8360092639923096), ('knife', 0.8277583122253418), ('unstable', 0.8105024099349976), ('bottom', 0.808984100818634), ('small', 0.807020902633667), ('fail', 0.8057971000671387), ('raise', 0.8034159541130066), ('discard', 0.8022437691688538), ('short', 0.8018447756767273)]",87,0.7417804
life:biography::achievement:trophy,trophy,"[('biography', 0.9385637044906616), ('agreement', 0.9135423898696899), ('script', 0.8794379234313965), ('fragile', 0.847631573677063), ('acceleration', 0.8382042646408081), ('feet', 0.8250024318695068), ('repel', 0.8246040940284729), ('employed', 0.8230545520782471), ('productive', 0.8163620829582214), ('arrhythmia', 0.8104531168937683)]",88,0.61368072
fire:hot::villain:evil,evil,"[('adult', 0.8241749405860901), ('hot', 0.8182076215744019), ('villain', 0.8148987293243408), ('exhaustion', 0.807366132736206), ('coward', 0.8017256855964661), ('student', 0.7999577522277832), ('lazy', 0.7976506948471069), ('stretched', 0.7951937317848206), ('retiree', 0.7947012186050415), ('husband', 0.7935806512832642)]",91,0.696580529
road:highway::pain:agony,agony,"[('pain', 0.9693039655685425), ('dirty', 0.9218374490737915), ('skin', 0.9113577008247375), ('wealth', 0.9094476103782654), ('discard', 0.9081105589866638), ('teach', 0.9069414734840393), ('tired', 0.906439483165741), ('big', 0.9064302444458008), ('bottom', 0.9044743180274963), ('exhaustion', 0.9041524529457092)]",111,0.822162747
hour:seconds::feet:inches,inches,"[('feet', 0.9000410437583923), ('depression', 0.8787644505500793), ('emotional', 0.8700154423713684), ('short', 0.8631318807601929), ('bottom', 0.8624833226203918), ('teach', 0.8576098084449768), ('discipline', 0.8547984957695007), ('exhaustion', 0.8535988926887512), ('fail', 0.8531866073608398), ('discard', 0.8528950810432434)]",125,0.728723705
fragile:unbreakable::lazy:productive,productive,"[('unbreakable', 0.8837084770202637), ('sadness', 0.8658108711242676), ('lazy', 0.8653692603111267), ('evil', 0.8585663437843323), ('stretched', 0.8577907681465149), ('fear', 0.8560009002685547), ('widow', 0.8500069975852966), ('deceased', 0.8488426208496094), ('villain', 0.8481598496437073), ('big', 0.8460883498191833)]",139,0.702192307
wash:dirty::fill:empty,empty,"[('fill', 0.8727037310600281), ('damaged', 0.8143470883369446), ('dirty', 0.8085054755210876), ('big', 0.7847113609313965), ('fail', 0.7835590839385986), ('forks', 0.7825618386268616), ('zoo', 0.7810029983520508), ('slavery', 0.7770360708236694), ('harvesting', 0.7719061374664307), ('succeed', 0.767949640750885)]",145,0.629584193
hot:cold::full:empty,empty,"[('cold', 0.9004989862442017), ('freezing', 0.8900778889656067), ('full', 0.878149151802063), ('small', 0.8491922616958618), ('seconds', 0.848315417766571), ('deceased', 0.8417116403579712), ('big', 0.8406772613525391), ('morose', 0.8390419483184814), ('performance', 0.838334858417511), ('discard', 0.8366537094116211)]",178,0.654821277
